is_demo_data,record_id,centre_id,centre_name,distance_km,crop_type,quantity_kg,time_slot,weighbridges_active,centre_capacity_mt,current_utilization_ratio,queue_length_at_arrival,diversion_active,crop_compatible,actual_wait_time_minutes,disclaimer
TRUE,DEMO-00001,C-06,Centre F - Guskara Sub-Mandi,33.9,Potato,1010.0,08:00 - 10:00,2,40,0.27,1,1,0,32.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00002,C-05,Centre E - Kalyani Storage & Hub,3.3,Mustard,920.0,08:00 - 10:00,2,50,0.57,1,0,1,6.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00003,C-02,Centre B - Singur Agro Hub,11.5,Maize,2140.0,14:00 - 16:00,4,100,0.82,0,0,0,12.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00004,C-03,Centre C - Memari Procurement Depot,11.3,Wheat,2720.0,10:00 - 12:00,2,60,0.23,5,0,0,34.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00005,C-03,Centre C - Memari Procurement Depot,13.4,Wheat,340.0,16:00 - 18:00,2,60,0.53,1,0,0,7.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00006,C-03,Centre C - Memari Procurement Depot,26.8,Maize,2530.0,12:00 - 14:00,2,60,0.19,2,0,1,26.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00007,C-03,Centre C - Memari Procurement Depot,39.3,Potato,1450.0,10:00 - 12:00,2,60,0.53,10,0,1,48.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00008,C-06,Centre F - Guskara Sub-Mandi,28.2,Wheat,760.0,08:00 - 10:00,2,40,0.76,2,1,0,36.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00009,C-04,Centre D - Ranaghat Krishak Mandi,11.4,Wheat,1270.0,16:00 - 18:00,3,90,0.79,0,0,1,11.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00010,C-04,Centre D - Ranaghat Krishak Mandi,11.1,Wheat,3310.0,08:00 - 10:00,3,90,0.88,12,0,1,61.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00011,C-04,Centre D - Ranaghat Krishak Mandi,8.1,Mustard,660.0,14:00 - 16:00,3,90,0.77,3,0,1,11.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00012,C-05,Centre E - Kalyani Storage & Hub,11.4,Mustard,3490.0,12:00 - 14:00,2,50,0.57,1,0,1,24.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00013,C-01,Centre A - Burdwan Mandi,29.0,Potato,2810.0,10:00 - 12:00,3,80,0.5,2,0,1,15.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00014,C-05,Centre E - Kalyani Storage & Hub,39.0,Wheat,240.0,16:00 - 18:00,2,50,0.75,3,0,1,18.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00015,C-05,Centre E - Kalyani Storage & Hub,6.8,Wheat,1630.0,12:00 - 14:00,2,50,0.53,7,0,1,37.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00016,C-05,Centre E - Kalyani Storage & Hub,41.2,Paddy,3070.0,16:00 - 18:00,2,50,0.4,3,0,1,29.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00017,C-05,Centre E - Kalyani Storage & Hub,18.1,Paddy,730.0,10:00 - 12:00,2,50,0.94,15,1,1,89.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00018,C-01,Centre A - Burdwan Mandi,12.3,Wheat,990.0,12:00 - 14:00,3,80,0.62,1,0,1,6.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00019,C-06,Centre F - Guskara Sub-Mandi,44.1,Mustard,1960.0,08:00 - 10:00,2,40,0.25,6,1,1,61.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00020,C-05,Centre E - Kalyani Storage & Hub,43.5,Maize,3270.0,14:00 - 16:00,2,50,0.78,4,0,1,35.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00021,C-06,Centre F - Guskara Sub-Mandi,44.8,Wheat,2340.0,14:00 - 16:00,2,40,0.51,3,1,0,54.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
